sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,store
7U-1HG2-1VUC,X001X75OW1,B0CPXXYY6H,"Audio Array AB-04 Professional Dual Voiceover Podcasting Bundle with Audio Interface and Condenser Mic Kit | Studio Quality Setup | Podcast, Gaming, Streaming | Compatible with Mobile & Computers",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
CB-Z6BD-IA68,X0027C8T4L,B0BPLZ5CGV,Audio Array AI-04 HD 2 in 3 Out Gen 3 Audio Interface | 3 Yr Warranty | Premium Mic Pre-Amps | +48V | 24bit/192kHz Hi-Fi Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | Metal Body | Red,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75673,X001L46QAP,B0B4DPX2J2,"Audio Array USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable | AM-C1",NewItem,,No,,Yes,107,104,2,1,107,,0,0,0,1,0,0,
FBA75674,X001L4QVU5,B0B4G19R58,Audio Array Mic | Podcast Mic XLR Condenser Microphone Kit with Boom Arm | Pop Filter | Shock Mount & 2M Cable | Cardioid Recording Microphone for Streaming | Podcasting & Home Studio | AM-C2,NewItem,,No,,Yes,21,17,0,4,22,,1,0,0,0,0,0,
FBA75675,X001L4RWFN,B0B4G8ZB64,"Audio Array AM-C3 XLR to TRS Dynamic Handheld Karaoke Microphone | Premium Metal Built with 3M Cable | Singing, Public Meetings, Studio Recording, Live Show, Party, Church, Wedding",NewItem,,No,,Yes,0,0,0,0,10,,5,5,0,0,0,0,
FBA75676,X001L4B62N,B0B4DS678Q,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",NewItem,,No,,Yes,16,9,0,7,16,,0,0,0,0,0,0,
FBA75677,X001L5ZA2J,B0B4KC7VBM,"Audio Array USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker) | AM-C5",NewItem,,No,,Yes,29,28,0,1,29,,0,0,0,0,0,0,
FBA75678,X001L4X3H9,B0B4G8PH2P,"Audio Array Suspension Boom Scissor Microphone Stand | Double Layer Mesh Pop Filter | 70cm Sturdy Boom Arm with 1.8kg Capacity | 5/8"" to 3/8"" Screw Adapter | Mic Holder, Foam Cover, Cable Ties | AA-01",NewItem,,No,,Yes,8,6,0,2,8,,0,0,0,0,0,0,
FBA75679,X001L5GHUN,B0B4JRQP22,"Audio Array AA-02 3-Panel Curved Isolation Shield with Insulation, Absorption & Reflection Filter | 3/8"" and 5/8"" Universal Mic Mount for Recording Studio, Podcasts, Singing & Broadcasting",NewItem,,No,,Yes,20,19,0,1,20,,0,0,0,0,0,0,
FBA75680,X001L4N6P3,B0B4G1PXWV,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
